user_id,user_id_new
17,0
26,1
39,2
69,3
78,4
83,5
87,6
97,7
99,8
109,9
114,10
125,11
129,12
165,13
185,14
212,15
224,16
228,17
242,18
243,19
244,20
249,21
254,22
256,23
257,24
272,25
300,26
326,27
334,28
367,29
383,30
388,31
408,32
413,33
424,34
430,35
433,36
444,37
446,38
460,39
463,40
476,41
486,42
487,43
493,44
496,45
499,46
500,47
503,48
505,49
507,50
508,51
558,52
567,53
595,54
596,55
619,56
625,57
638,58
641,59
643,60
651,61
660,62
685,63
707,64
709,65
711,66
713,67
741,68
743,69
746,70
753,71
757,72
769,73
771,74
774,75
776,76
780,77
785,78
786,79
805,80
818,81
819,82
822,83
824,84
827,85
828,86
834,87
843,88
853,89
882,90
885,91
886,92
887,93
896,94
900,95
901,96
913,97
915,98
916,99
929,100
951,101
965,102
973,103
1009,104
1010,105
1021,106
1022,107
1024,108
1025,109
1026,110
1031,111
1046,112
1054,113
1057,114
1063,115
1075,116
1082,117
1083,118
1098,119
1108,120
1113,121
1116,122
1129,123
1131,124
1137,125
1155,126
1161,127
1164,128
1167,129
1169,130
1174,131
1178,132
1180,133
1184,134
1210,135
1211,136
1214,137
1223,138
1235,139
1248,140
1249,141
1250,142
1258,143
1259,144
1261,145
1266,146
1279,147
1281,148
1293,149
1294,150
1297,151
1309,152
1324,153
1331,154
1359,155
1368,156
1375,157
1377,158
1389,159
1395,160
1396,161
1399,162
1403,163
1409,164
1410,165
1412,166
1417,167
1424,168
1434,169
1435,170
1439,171
1448,172
1455,173
1467,174
1473,175
1489,176
1499,177
1500,178
1519,179
1535,180
1548,181
1558,182
1585,183
1586,184
1596,185
1597,186
1599,187
1608,188
1617,189
1619,190
1639,191
1650,192
1652,193
1660,194
1674,195
1688,196
1706,197
1719,198
1721,199
1725,200
1730,201
1733,202
1765,203
1768,204
1773,205
1775,206
1790,207
1791,208
1792,209
1802,210
1805,211
1812,212
1830,213
1838,214
1848,215
1869,216
1881,217
1888,218
1892,219
1898,220
1900,221
1903,222
1928,223
1933,224
1947,225
1949,226
1989,227
2010,228
2012,229
2024,230
2030,231
2033,232
2035,233
2036,234
2041,235
2060,236
2077,237
2084,238
2090,239
2097,240
2099,241
2103,242
2105,243
2106,244
2108,245
2110,246
2116,247
2132,248
2134,249
2136,250
2139,251
2152,252
2169,253
2172,254
2179,255
2183,256
2189,257
2197,258
2219,259
2222,260
2224,261
2253,262
2255,263
2276,264
2287,265
2288,266
2295,267
2296,268
2305,269
2312,270
2313,271
2326,272
2333,273
2337,274
2354,275
2355,276
2357,277
2358,278
2369,279
2375,280
2376,281
2379,282
2399,283
2404,284
2411,285
2437,286
2439,287
2461,288
2466,289
2481,290
2485,291
2499,292
2503,293
2504,294
2508,295
2528,296
2534,297
2559,298
2565,299
2569,300
2582,301
2584,302
2590,303
2605,304
2622,305
2633,306
2634,307
2651,308
2665,309
2685,310
2690,311
2700,312
2719,313
2731,314
2738,315
2759,316
2766,317
2770,318
2776,319
2790,320
2793,321
2799,322
2850,323
2854,324
2855,325
2859,326
2891,327
2892,328
2948,329
2954,330
2977,331
2983,332
2995,333
2996,334
3017,335
3026,336
3048,337
3052,338
3063,339
3071,340
3087,341
3099,342
3104,343
3106,344
3114,345
3142,346
3145,347
3150,348
3154,349
3165,350
3167,351
3168,352
3191,353
3192,354
3194,355
3197,356
3206,357
3209,358
3232,359
3243,360
3261,361
3266,362
3282,363
3289,364
3305,365
3329,366
3331,367
3344,368
3346,369
3350,370
3362,371
3363,372
3364,373
3368,374
3371,375
3373,376
3374,377
3379,378
3416,379
3418,380
3427,381
3462,382
3467,383
3471,384
3492,385
3508,386
3512,387
3514,388
3537,389
3538,390
3541,391
3542,392
3546,393
3556,394
3569,395
3578,396
3580,397
3593,398
3594,399
3596,400
3599,401
3601,402
3605,403
3613,404
3640,405
3643,406
3648,407
3655,408
