isbn,book_id
0891075275,0
0553264990,1
0449005615,2
0671888587,3
1853260053,4
0394895894,5
087113375X,6
0375509038,7
0671867156,8
0312252617,9
0451166892,10
0446677450,11
0671521519,12
0671027360,13
0446612545,14
0679429220,15
0316735736,16
0060976845,17
0380778556,18
0060801263,19
0446527165,20
0385337639,21
039575514X,22
3257203136,23
0553278223,24
0449006522,25
0446364800,26
155874262X,27
0553580388,28
0060977493,29
0385720106,30
0375400117,31
1558744150,32
0375704965,33
0525947647,34
0349109117,35
0590353403,36
0553280325,37
1556520743,38
1931081727,39
1563895730,40
0671021001,41
0618002227,42
0312863934,43
0060934700,44
0064471047,45
0373836023,46
0399146431,47
038097827X,48
0380977281,49
0380973650,50
0373834446,51
0440235502,52
1573225487,53
0060977477,54
0872200760,55
0449912302,56
0380728729,57
0684193957,58
1573228737,59
0380815923,60
0385416342,61
0517577402,62
0679725393,63
0553569058,64
0060973897,65
0590947257,66
0553582682,67
0553258524,68
0805063897,69
0425156842,70
0679777431,71
0842329129,72
0871138646,73
1877727083,74
0684824442,75
0061000280,76
0060925000,77
887641486X,78
0140370900,79
0515118656,80
0451202341,81
0486272664,82
0345441133,83
0385472951,84
0425182878,85
0743412621,86
0849943450,87
1558743669,88
0140179836,89
0385483724,90
0385496095,91
0439099404,92
0805056491,93
0385306032,94
0689710879,95
0689710895,96
0553576801,97
0553583468,98
0553583441,99
055357695X,100
0743260244,101
0553564528,102
0440122090,103
0446364193,104
0684717255,105
0486272745,106
0140293248,107
0446610399,108
0671808672,109
015600710X,110
193156146X,111
2877060527,112
0679419624,113
0446527793,114
0670892963,115
0525943862,116
0609605925,117
067972768X,118
1570717257,119
1558747346,120
0679746048,121
0446525537,122
0375400699,123
0446523569,124
0316779490,125
0316693200,126
0316693006,127
0316666343,128
0446525502,129
0394574745,130
0385500769,131
0385470819,132
0385505833,133
0064407667,134
1858813093,135
185479549X,136
2253051381,137
2253049417,138
2253140872,139
0198604025,140
0140366660,141
0552546933,142
0749391308,143
0743222229,144
1841952931,145
0786886463,146
0786889160,147
1888451084,148
0440219604,149
1573229571,150
0743211383,151
0394559487,152
0670844594,153
0590897985,154
0689829698,155
0440415993,156
0440219078,157
0060535032,158
015216250X,159
0330367358,160
0753804700,161
044132231X,162
0451524489,163
0786889705,164
0375821813,165
014036336X,166
0679420118,167
034538184X,168
0060914653,169
0345347536,170
055321313X,171
0060529709,172
0375704027,173
0449911004,174
0743237188,175
0553584510,176
0553586122,177
0553268449,178
0671003755,179
0877733759,180
0911104542,181
0440215625,182
0140070206,183
0140077022,184
0060928336,185
0156027321,186
0060256672,187
0375501851,188
038001503X,189
039592720X,190
067142517X,191
0099518015,192
0679734775,193
0440414717,194
0345409469,195
0684819066,196
0066211611,197
034545829X,198
0345375211,199
0553572997,200
0553205587,201
0517556278,202
0515135062,203
0618260307,204
0743457943,205
067976402X,206
0452265347,207
0440235162,208
0440215978,209
0425195899,210
0394743180,211
0804106304,212
0679723420,213
0441004016,214
0140620338,215
0460878263,216
0553576976,217
0451450604,218
0785268480,219
0099422468,220
0140273980,221
0451169530,222
0679741011,223
1895383129,224
0226726770,225
0345285549,226
0345307674,227
0385314744,228
0425050750,229
0440224624,230
0375704043,231
0805063889,232
1573228567,233
0451181468,234
0671028375,235
0345384733,236
0060930535,237
0375702709,238
0671038184,239
0743225082,240
070121015X,241
0140563733,242
0060562080,243
0099427974,244
0099385716,245
0552124753,246
0380012863,247
0330306839,248
1578562333,249
0345458915,250
0749336501,251
1400034779,252
0451163753,253
038533303X,254
0671311891,255
0892967048,256
0767902521,257
0375726403,258
1558744606,259
014131088X,260
044023767X,261
080410753X,262
031227999X,263
0385508417,264
0385324057,265
006109594X,266
0061030651,267
0425185710,268
0449149676,269
0671004565,270
0671793489,271
0394758285,272
0440214424,273
0061098361,274
0070212570,275
0060934417,276
0375703055,277
0385480016,278
8481301132,279
0446607835,280
0380817683,281
0465016146,282
0375725784,283
0061098795,284
0380012774,285
0802135196,286
0060929596,287
0375707425,288
0231105592,289
0440940001,290
0812565959,291
0425163385,292
0679731148,293
2253004898,294
2264028815,295
2070417700,296
0786889373,297
2070360024,298
0380600129,299
0451522389,300
0316693324,301
0140089586,302
0805051732,303
0553110721,304
0345396529,305
0205280854,306
0770428797,307
0440226430,308
0684835983,309
0385721358,310
0553232053,311
0062502174,312
0688177751,313
0345438329,314
0345401123,315
0618126988,316
031219126X,317
0345446860,318
0446310492,319
0399145087,320
0060192119,321
0425178765,322
0689109865,323
0141180633,324
0399501487,325
0425188361,326
0375411992,327
0743203313,328
0440224764,329
193072229X,330
0380727501,331
037542217X,332
0345440773,333
0515120006,334
0515127396,335
0684868911,336
0385512104,337
0385494785,338
0345416260,339
0385486804,340
0345433084,341
0525237704,342
0743228480,343
0743431014,344
0743418735,345
0676974562,346
0671646575,347
1841955469,348
1400060648,349
0140185844,350
0140255087,351
0142003581,352
0156001314,353
0151002290,354
0531301427,355
0060512822,356
0060730552,357
0312420366,358
0316291161,359
0060175400,360
0684848783,361
0679751343,362
0802713815,363
0517573822,364
0374517886,365
0345410998,366
0345387651,367
0451208765,368
0399133143,369
0061032077,370
0679459626,371
0812566629,372
1892051001,373
1587991039,374
0385492081,375
0465090974,376
0670848549,377
0553234609,378
0553131893,379
037541181X,380
0345434692,381
0425167313,382
0446519960,383
0684867621,384
0553299506,385
0451147375,386
0446611611,387
0345413903,388
0316919896,389
0590634275,390
0060002492,391
0316569321,392
1860469450,393
0515095826,394
0515111279,395
0515090174,396
0553578693,397
0689825234,398
0679744479,399
0553582933,400
0553561618,401
0312983654,402
0451162463,403
0553380958,404
0679775471,405
0618129030,406
0385497288,407
0393312801,408
0345382544,409
0552138223,410
0446606723,411
0060182792,412
0671027123,413
0679745645,414
0449225151,415
0765342405,416
0767905180,417
0446527130,418
0446357405,419
0380775840,420
0440168724,421
0743431367,422
051513287X,423
0553574078,424
0553285947,425
1551669404,426
1551664348,427
1860464289,428
0140348107,429
0060506679,430
0812504364,431
0553255142,432
9500703203,433
0312281250,434
0060936363,435
0312774842,436
0671708635,437
0099387913,438
0061012289,439
0684818868,440
0778800229,441
0786868716,442
0812511816,443
0812513738,444
0871401185,445
0890420254,446
1929194196,447
0345348109,448
0345443683,449
0425122123,450
080410882X,451
0375726624,452
0060922532,453
0385484518,454
0786864133,455
006251119X,456
0670031518,457
067162248X,458
157322829X,459
0879804211,460
0465021433,461
0140289216,462
0060931361,463
044022330X,464
0446391581,465
0345333152,466
0452266688,467
0415167914,468
0380810336,469
0385722192,470
0375757325,471
1563521024,472
0394830148,473
0679748083,474
0425175405,475
0684862719,476
1552976246,477
0740704532,478
0684836491,479
0380796090,480
0553279912,481
0671023616,482
0345353145,483
0316154067,484
0802116825,485
0226067114,486
0743400720,487
0915811898,488
1561706213,489
1561707236,490
1577310454,491
1880032627,492
067084487X,493
006251279X,494
0062513346,495
0062513982,496
0140422226,497
0385484100,498
0525945040,499
0446676489,500
0440108268,501
0425133656,502
0553274384,503
0812533313,504
0812575717,505
0875962432,506
0836204387,507
0812532619,508
